id,slug,naziv,tip,titular,religija,konfesija,adresa,mjesto,naselje,opcina,zupanija,lat,lng,zupa,zupa_oib,biskupija,zupna_crkva,oznaka_zastite,status_zastite,godina,arhitekt,stil,telefon,email,web,osm_type,osm_id,wikidata_id,wikipedia_url,commons_image,izvori
6006,gospe-lurdske-grubisno-polje-w1221650963,Samostan Gospe Lurdske,samostan,Majka Božja,christian,roman_catholic,Ulica Ivana Nepomuka Jernešića 46,,Grubišno Polje,Grubišno Polje,Bjelovarsko-bilogorska,45.7049945,17.1663859,,,,0,,,,,,,,https://www.milosrdnice-zagreb.hr/nase-zajednice/samostan-gospe-lurdske-grubisno-polje/,way,1221650963,,,,"[""osm""]"
6011,svetog-vinka-daruvar-w1222564563,Samostan svetog Vinka,samostan,sv. Vinko,christian,,,,Daruvar,Daruvar,Bjelovarsko-bilogorska,45.5972216,17.2179059,,,,0,,,,,,,,,way,1222564563,,,,"[""osm""]"
6012,svetog-vinka-daruvar-w1222564568,Samostan svetog Vinka,samostan,sv. Vinko,christian,,Samostanski prilaz 4,,Daruvar,Daruvar,Bjelovarsko-bilogorska,45.5972318,17.2179786,,,,0,,,,,,,,https://www.milosrdnice-zagreb.hr/nase-zajednice/samostan-sv-vinka-daruvar/,way,1222564568,,,,"[""osm""]"
5858,svetih-petra-i-pavla-daruvarski-brestovac-w1183891549,Srpska pravoslavna crkva svetih Petra i Pavla,crkva,sv. Petar i Pavla,christian,serbian_orthodox;orthodox,,,Daruvarski Brestovac,Končanica,Bjelovarsko-bilogorska,45.6200969,17.1283857,,,,0,,,,,,,,,way,1183891549,,,,"[""osm""]"
49,svetnja-sirac-n553520470,Svetnja,crkva,,christian,,,,Sirač,Sirač,Bjelovarsko-bilogorska,45.5192056,17.2694617,"ŽUPA POHODA BDM, SIRAČ",,Požeška Biskupija,0,,,,,,,,,node,553520470,,,,"[""osm""]"
6782,zvonik-bedenik-w1535629604,Zvonik,crkva,,christian,,,,Bedenik,Nova Rača,Bjelovarsko-bilogorska,45.8237958,17.0040638,ŽUPA UZNESENJA B. D. MARIJE,86849702385,Bjelovarsko-križevačka Biskupija,0,,,,,,,,,way,1535629604,,,,"[""osm""]"
6217,zvonik-pravoslavne-crkve-sv-lazara-dulovac-w1296579498,Zvonik pravoslavne crkve sv. Lazara,pravoslavna-crkva,sv. Lazara,christian,orthodox,,,Đulovac,Đulovac,Bjelovarsko-bilogorska,45.662357,17.4316599,"ŽUPA DUHA SVETOGA, ĐULOVAC",,Požeška Biskupija,0,,,,,,,,,way,1296579498,,,,"[""osm""]"
6704,zvonik-u-lasovcu-lasovac-w1466044567,Zvonik u Lasovcu,crkva,,christian,,,,Lasovac,Šandrovac,Bjelovarsko-bilogorska,45.8516918,17.0295892,ŽUPA POHODA B. D. MARIJE,97559681882,Bjelovarsko-križevačka Biskupija,0,,,,,,,,,way,1466044567,,,,"[""osm""]"
6771,ckva-presvete-krvi-isusove-nova-ploscica-w1532817094,ckva Presvete Krvi Isusove,crkva,,christian,,,,Nova Ploščica,Velika Trnovitica,Bjelovarsko-bilogorska,45.7321702,16.9233522,ŽUPA SV. MARTINA BISKUPA,35834520645,Bjelovarsko-križevačka Biskupija,0,,,,,,,,,way,1532817094,,,,"[""osm""]"
4795,ckva-svetog-stjepana-stefanje-w754400633,ckva svetog Stjepana,crkva,sv. Stjepan,christian,roman_catholic,,,Štefanje,Štefanje,Bjelovarsko-bilogorska,45.8061797,16.7167847,ŽUPA SV. STJEPANA PRVOMUČENIKA,,Bjelovarsko-križevačka Biskupija,0,,,,,,,,,way,754400633,,,,"[""osm""]"
